Beer Name,Ratings,Style Name,Cellar Temperature,Serving Temperature,Score
15121,22,AmericanIPA,40-45,45-50,3.28
59817,1,AmericanPaleAle(APA),35-40,40-45,3.52
32669,3,IrishRedAle,35-40,40-45,4.01
130798,0,AmericanMaltLiquor,35-40,35-40,0
124087,1,EuroPaleLager,35-40,40-45,2.73
9936,1,MaibockHellesBock,40-45,45-50,3.86
43741,15,EnglishBrownAle,40-45,45-50,3.77
146548,6,AmericanIPA,40-45,45-50,3.67
135318,4,AmericanIPA,40-45,45-50,3.97
144620,12,AmericanDoubleImperialStout,45-50,50-55,4.24
65467,900,AmericanAdjunctLager,35-40,35-40,2.76
134665,75,BelgianStrongDarkAle,45-50,45-50,3.75
7700,"1,640",SaisonFarmhouseAle,45-50,45-50,4.35
22240,3,FruitVegetableBeer,35-40,40-45,3.61
37705,1,AmericanIPA,40-45,45-50,3.8
70073,1,LightLager,35-40,40-45,3.5
96696,1,EnglishBitter,,45-50,2.65
119552,1,AmericanIPA,40-45,45-50,3.43
157356,1,AmericanAmberRedAle,40-45,45-50,3.58
91999,138,Rauchbier,40-45,50-55,3.57
16025,1,ScotchAleWeeHeavy,40-45,45-50,3.7
64735,4,AmericanWildAle,40-45,45-50,3.81
73757,24,AmericanIPA,40-45,45-50,4.07
68191,8,Weizenbock,40-45,45-50,3.79
2833,48,AmericanIPA,40-45,45-50,3.89
158236,1,EnglishIndiaPaleAle(IPA),35-40,40-45,3
20645,3,EnglishPorter,,50-55,3.41
131147,49,Schwarzbier,40-45,45-50,2.7
138863,0,AmericanIPA,40-45,45-50,0
41302,1,AmericanPaleAle(APA),35-40,40-45,3.52
136860,1,SmokedBeer,,50-55,3.48
121790,101,AmericanAmberRedAle,40-45,45-50,3.76
132164,1,EnglishBarleywine,45-50,50-55,3.75
5250,1,SaisonFarmhouseAle,45-50,45-50,3.46
12454,6,BelgianStrongDarkAle,45-50,45-50,4.13
124730,1,EnglishPorter,,50-55,4
110984,1,SaisonFarmhouseAle,45-50,45-50,4
115684,1,AmericanWildAle,40-45,45-50,3.75
120426,0,AmericanPaleLager,35-40,40-45,0
162268,4,AmericanIPA,40-45,45-50,3.81
6474,8,AmericanPaleAle(APA),35-40,40-45,4.07
51240,0,EnglishPaleMildAle,40-45,45-50,0
73802,1,AmericanAmberRedAle,40-45,45-50,3.53
67360,0,Hefeweizen,40-45,45-50,0
143592,2,Dubbel,45-50,45-50,3.59
158387,41,AmericanPorter,40-45,45-50,3.92
45323,3,AmericanIPA,40-45,45-50,4.38
9463,1,AmericanIPA,40-45,45-50,4
15371,1,BelgianPaleAle,40-45,45-50,4.02
116528,2,AmericanPorter,40-45,45-50,3.71
80549,1,ViennaLager,35-40,40-45,3.4
43965,1,EnglishPorter,,50-55,3.48
109537,2,AmericanIPA,40-45,45-50,3.75
129956,188,AmericanPorter,40-45,45-50,3.86
38247,1,AmericanStout,40-45,45-50,4
162112,12,Quadrupel(Quad),45-50,50-55,3.95
52380,6,AmericanPorter,40-45,45-50,4.35
117380,3,AmericanPorter,40-45,45-50,3.69
160858,8,HerbedSpicedBeer,,45-50,3.64
72764,1,AmericanStout,40-45,45-50,3.08
79603,37,AmericanDoubleImperialIPA,45-50,50-55,3.95
123712,3,EnglishIndiaPaleAle(IPA),35-40,40-45,3.56
20114,1,AmericanWildAle,40-45,45-50,4.37
91069,4,EuroPaleLager,35-40,40-45,3.32
101475,1,KellerbierZwickelbier,35-40,40-45,3.71
30607,5,BerlinerWeissbier,40-45,45-50,3.69
111547,2,BerlinerWeissbier,40-45,45-50,4.18
143075,35,Doppelbock,40-45,45-50,3.94
148953,2,AmericanWildAle,40-45,45-50,4.07
7829,10,BelgianStrongPaleAle,40-45,50-55,4.12
43760,704,AmericanBrownAle,40-45,45-50,3.71
16996,4,BiredeGarde,45-50,45-50,3.8
86412,1,Bock,40-45,45-50,3.26
122045,1,AmericanPaleAle(APA),35-40,40-45,3.9
101434,5,Witbier,40-45,45-50,3.67
37904,2,AmericanIPA,40-45,45-50,3.96
140975,4,EnglishBrownAle,40-45,45-50,3.37
26616,10,EnglishBitter,,45-50,3.52
77137,8,IrishDryStout,40-45,45-50,3.4
39718,6,Dubbel,45-50,45-50,3.75
136146,4,BerlinerWeissbier,40-45,45-50,3.48
17114,4,BiredeGarde,45-50,45-50,3.72
114559,0,AmericanIPA,40-45,45-50,0
105842,1,AmericanBrownAle,40-45,45-50,3.75
91525,2,AmericanIPA,40-45,45-50,3.64
55399,6,IrishRedAle,35-40,40-45,3.13
100574,15,MunichHellesLager,35-40,40-45,3.53
145237,29,PumpkinAle,40-45,45-50,3.67
3128,2,Schwarzbier,40-45,45-50,3.82
73482,6,AmericanDoubleImperialIPA,45-50,50-55,4.08
75690,0,AmericanDoubleImperialStout,45-50,50-55,0
166492,7,AmericanPaleLager,35-40,40-45,3.96
51503,5,AmericanPaleAle(APA),35-40,40-45,4.03
153746,1,AmericanIPA,40-45,45-50,4.06
27694,0,IrishRedAle,35-40,40-45,0
139418,9,LightLager,35-40,40-45,2.82
116351,0,AmericanPaleAle(APA),35-40,40-45,0
33203,13,AmericanPorter,40-45,45-50,3.66
96875,33,Weizenbock,40-45,45-50,3.54
128203,1,SaisonFarmhouseAle,45-50,45-50,3.85
68741,0,AmericanBrownAle,40-45,45-50,0
117685,1,AmericanPorter,40-45,45-50,3.91
147607,1,EnglishBitter,,45-50,3.5
37004,71,AmericanPorter,40-45,45-50,4.1
40979,2,EnglishPorter,,50-55,3.96
165627,10,AmericanIPA,40-45,45-50,3.71
147557,1,Gose,40-45,45-50,3.94
117554,3,AmericanPaleAle(APA),35-40,40-45,3.5
2502,1,AmericanDoubleImperialIPA,45-50,50-55,3.5
67119,5,AmericanAmberRedAle,40-45,45-50,3.55
52816,38,AmericanAmberRedAle,40-45,45-50,3.13
53431,24,EuroPaleLager,35-40,40-45,3.09
17372,4,AmericanAdjunctLager,35-40,35-40,2.96
120350,805,ScottishAle,40-45,45-50,3.65
141082,1,AmericanPaleAle(APA),35-40,40-45,3.5
153969,4,AmericanIPA,40-45,45-50,3.55
19717,1,AmericanIPA,40-45,45-50,4.08
112569,1,AmericanPorter,40-45,45-50,4.12
163726,1,Hefeweizen,40-45,45-50,4.42
145308,8,AmericanWildAle,40-45,45-50,4.46
90354,3,Tripel,45-50,45-50,3.82
32226,6,BelgianPaleAle,40-45,45-50,3.34
93429,6,Gose,40-45,45-50,4.3
71916,1,AmericanPaleAle(APA),35-40,40-45,4
163120,2,AmericanIPA,40-45,45-50,3.78
160021,0,AmericanStout,40-45,45-50,0
80402,6,MunichHellesLager,35-40,40-45,3.56
121169,2,Rauchbier,40-45,50-55,4.37
