"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
1,"campaign_type","character",895720,0,"0%",2,"TU/Exp Overlap::542186","TU Unique::353534","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
2,"IND_HASH_KEY","character",895720,0,"0%",884302,"7192E84EA9CABCFA550D0AEBB023377D::2","B562CEA27A2E26396B673E9B938961CE::2","77B2240D40ADEC1A318B3A22AD0FB7E4::2","966019F5B64E3482C5887F994FEF397F::2","58274D848A9A6171B6424F53249D76F4::2","E68AEF1CB8D73D1442471E263EA19876::1","ADC95CB77EA9DC411F97231E4E300D39::1","4EDAD46C712AD28A9EFC4592F74B3159::1","75B85BED9CBD0E848FE7C1785BD010D7::1","164679E1C561EBD9594693D2AAE1FA99::1"
3,"HH_HASH_KEY","character",895720,0,"0%",880496,"2FA688C8DEA1CAC13F92721E50372AE2::2","C6E5B742A2384AC6C3F1159907B2F38E::2","0FB459BA409CD10C825B07D22868B3D9::2","538FB783D89AAA93B666C5072A8BD4A0::2","841CD810D7A2B1A3041722E57F425916::2","5BD30842151166D513E197B5360BE43E::1","E28BAA49C57BEC056B4FE0A28E8EB3B9::1","BA2099DAF5577842B377A73EBFA393BF::1","EB050C000B5301BDC643D20197758A99::1","068241DCF2A3B4A925F44EEF7B6F8B75::1"
4,"RES_HASH_KEY","character",895720,0,"0%",867922,"7BAF030F9497E40A5E1E8A291183AF73::44","3EEAC1F8ECB7BF3F1C6CBC40CA5B9A75::18","E3086F26A6A97C3E82EC43AA37FD9E66::17","F368D517F2F1276D4D009C814AE2B81E::15","45D5E2163A5DD7D781648DBFC20EAEEB::15","ECE713CF8ED0DA31A38786ED3EABE436::1","9408058BA78C332FAA06ECAC51303B22::1","EFE5B4D1C9112F7FCE110E099CBB2071::1","6D03DE8C6D1AFDB3255672EED8F9134B::1","CEC9D2B9DDC5D9B0C8177C3D4F5723EC::1"
5,"RPM_STATE","character",895720,0,"0%",18,"TX::92708","MA::75464","NC::74428","PA::71559","NJ::60610","AZ::37135","IL::33713","RI::28276","SC::27629","FL::27064"
6,"RPM_ZIP","integer",895720,0,"0%",10910,"37120.191720627","1001","1364","2056","7866","29036","64490","98003","98683","99403"
7,"RPM_ZIP4","integer",895720,0,"0%",9926,"4587.88316884741","1","1012","1221","2314","4012","6707","9385","9730","9999"
8,"POB_FLAG","character",895720,0,"0%",2,"N::895516","Y::204","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
9,"APARTMENT_FLAG","character",895720,0,"0%",2,"N::825657","Y::70063","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
10,"MFDU_INDICATOR","character",895720,0,"0%",3,"S::850382","M::44723","U::615","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
11,"GNA001","integer",895720,0,"0%",35,"47.8418278033314","30","30","32","40","48","56","63","64","64"
12,"BIRTH_DATE_YEAR","integer",895720,0,"0%",36,"1967.44366096548","1951","1951","1953","1959","1967","1975","1983","1985","1986"
13,"BIRTH_DATE_MONTH","integer",895720,0,"0%",12,"6.5879895503059","1","1","1","4","7","10","12","12","12"
14,"GNF001","character",895720,0,"0%",1,"B::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
15,"HHIND","character",895720,290331,"32%",2,"H::605389","::290331","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
16,"OCCUPATION_CODE","character",895720,849759,"95%",300,"::849759","D173::2889","A220::2144","L275::2054","E257::2015","F039::2","O156::2","O081::2","B108::1","B083::1"
17,"SSN_INDICATOR","character",895720,0,"0%",2,"Y::894684","N::1036","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
18,"MSA","integer",895720,41020,"5%",564,"2877.43204282204","1014","1110","1206","1698","2814","3834","4790","4934","4982"
19,"GEO_BLOCK_GROUP","integer",895720,6637,"1%",10,"2.13224299643565","1","1","1","1","2","3","4","5","9"
20,"GEO_CENSUS","integer",895720,6637,"1%",14887,"283534.942631903","100","300","1705","14000","70203","533102","950700","970402","989200"
21,"FIPS","integer",895720,0,"0%",1478,"29899.2312374403","1003","4013","8013","17097","29189","42071","53005","53061","56021"
22,"STIE01_SCORE_INS","integer",895720,40200,"4%",68,"39.2858121376473","13","19","22","29","38","50","58","63","79"
23,"STIE01_CODE","character",895720,40200,"4%",14,"C::159708","D::132931","H::112353","G::109199","E::80002","J::25722","A::14001","K::3805","L::636","M::55"
24,"CTIE03_SCORE_INS","integer",895720,43175,"5%",166,"69.0153774874054","5","32","41","54","63","81","112","130","179"
25,"CTIE03_CODE","character",895720,43175,"5%",10,"C::253194","D::160467","E::104474","B::103065","F::83515","H::70926","G::57073","::43175","I::14253","A::5578"
26,"AUC1002","integer",895720,186653,"21%",58359,"22562.052516899","1","4489.66","7627","14589","20841","28502","42798","58398","3007824"
27,"AUT1002","character",895720,186460,"21%",3,"O::457984","C::251276","::186460","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
28,"AUT1005","character",895720,186460,"21%",4,"AU::650423","::186460","AL::58682","LE::155","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
29,"AUD1001","integer",895720,186530,"21%",5965,"20120870.1429786","19870609","20021113","20050406","20101021","20130913","20150308","20151231","20160629","20160920"
30,"AUD1004","integer",895720,438403,"49%",218,"20192304.988262","20160201","20160301","20161001","20180501","20190901","20201201","20220201","20221101","20390701"
31,"AUC2002","integer",895720,374285,"42%",52690,"21124.1108901397","1","3825","7011","13690","19560","26617","40249","54443.9799999999","3920600"
32,"AUT2002","character",895720,373802,"42%",3,"C::397073","::373802","O::124845","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
33,"AUT2005","character",895720,373802,"42%",4,"AU::477758","::373802","AL::43995","LE::165","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
34,"AUD2001","integer",895720,373944,"42%",6097,"20096922.2967308","19790928","20020201","20030820","20070410","20100930","20130316","20150225","20151028","20160910"
35,"AUD2004","integer",895720,771060,"86%",193,"20185467.6163966","20160201","20160201","20160601","20170801","20181101","20200301","20210801","20220601","20390101"
36,"BANKCARD_INDICATOR","character",895720,0,"0%",2,"N::877211","Y::18509","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
37,"BNKCRD_CR_ISS_DTE","character",895720,877211,"98%",11,"::877211","2016-01-01::7165","2015-12-01::4347","2016-08-01::2447","2016-02-01::1464","2015-11-01::856","2016-09-01::632","2016-06-01::230","2015-10-01::53","2016-05-01::8"
38,"DEPT_CARD_INDICATOR","character",895720,0,"0%",2,"N::885645","Y::10075","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
39,"DEP_STR_CR_ISS_DTE","character",895720,885645,"99%",11,"::885645","2015-12-01::3170","2016-01-01::3061","2016-02-01::1089","2015-11-01::1036","2016-09-01::350","2016-07-01::322","2016-06-01::36","2015-10-01::34","2016-05-01::5"
40,"FINANCE_LOAN_INDICATOR","character",895720,0,"0%",2,"N::889749","Y::5971","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
41,"FINC_CR_ISS_DTE","character",895720,889749,"99%",11,"::889749","2016-01-01::1892","2015-12-01::1705","2016-08-01::741","2015-11-01::679","2016-06-01::185","2016-02-01::100","2016-09-01::95","2015-10-01::56","2016-05-01::17"
42,"LOR_CURADDR","integer",895720,0,"0%",480,"119.047841959541","0","3","8","48","111","171","269","284","999"
43,"MTC1001","integer",895720,389515,"43%",281916,"192441.543623631","0","9273","31097.2","103462","165566","245752","408230","709927.520000001","9999999"
44,"MTD001","integer",895720,738897,"82%",3251,"20118364.1364915","20010730","20060607","20070220","20091222","20121002","20141027","20160128","20160805","20160914"
45,"MTC1002","integer",895720,389501,"43%",111271,"219871.913148262","0","30000","63000","128100","189475","272000","432000","768000","9999999"
46,"MTT1001","character",895720,389533,"43%",29,"CV::390931","::389533","FR::70366","VM::26880","SM::7453","RA::1","MD::1","GS::1","RD::1","BL::1"
47,"MTD1001","integer",895720,389456,"43%",418,"201072.887698908","197909","199806","200305","200906","201206","201311","201509","201604","201609"
48,"MTC2001","integer",895720,831161,"93%",58092,"149904.506389504","0","3448.74","12394.7","52816.5","116342","200284.5","380158.8","686441.14","4500000"
49,"MTD002","integer",895720,484024,"54%",3265,"20119677.6546384","20050207","20060810","20070615","20101029","20121106","20140501","20151001","20160421","20160920"
50,"MTC2002","integer",895720,831122,"93%",20498,"181617.736385027","0","9999.85","26215","79500","146781.5","237500","417000","760000","9999999"
51,"MTT2001","character",895720,831131,"93%",25,"::831131","CV::47943","SM::8941","FR::4216","VM::2034","AU::2","LS::1","CI::1","RD::1","CH::1"
